price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,avg_change,changeCategory
56.549999,58.049999,56.450001,58,10908200,56.222553,4/3/2018,SBUX,0.031294345,0.031294416,0.23890213,Even
57.25,58.970001,57.209999,58.830002,7893100,57.027122,4/4/2018,SBUX,0.014310432,0.014310379,0.196996239,Even
59,59.27,58.860001,59.139999,6305100,57.327618,4/5/2018,SBUX,0.005269352,0.005269369,0.094911956,Even
58.779999,59.139999,58.09,58.34,8264500,56.552135,4/6/2018,SBUX,-0.013527215,-0.013527207,0.369117093,Even
58.540001,59.369999,58.419998,58.700001,8023800,56.901108,4/9/2018,SBUX,0.006170819,0.00617074,0.182308419,Even
59.110001,59.490002,58.869999,59.41,6545000,57.589344,4/10/2018,SBUX,0.0120953,0.012095383,0.006736606,Even
59.189999,59.709999,59,59.419998,5508000,57.599037,4/11/2018,SBUX,0.000168312,0.000168288,0.137886966,Even
59.66,60.119999,59.419998,59.43,6088200,57.608734,4/12/2018,SBUX,0.000168354,0.000168327,0.023533975,Even
59,59.549999,58.959999,59.240002,6689800,57.424557,4/13/2018,SBUX,-0.003197033,-0.003197005,-0.006730033,Even
59.130001,59.689999,58.84,59.43,6119200,57.608734,4/16/2018,SBUX,0.003207286,0.003207259,-0.483142213,Even
59.75,60,59.400002,59.830002,6139600,57.996479,4/17/2018,SBUX,0.006730663,0.006730641,-0.566662309,Less
59.73,59.830002,59.439999,59.5,5914200,57.676586,4/18/2018,SBUX,-0.005515731,-0.005515661,-0.577401691,Less
59.419998,59.490002,58.73,59.220001,6280100,57.405167,4/19/2018,SBUX,-0.004705878,-0.004705866,-0.519079038,Less
59.029999,59.18,57.799999,58,12037600,56.222553,4/20/2018,SBUX,-0.020601177,-0.020601165,0.474128682,Even
58.009998,58.73,57.689999,58.16,8444400,56.377647,4/23/2018,SBUX,0.002758573,0.002758621,0.068633406,Even
58.48,58.66,57.650002,57.810001,7793600,56.03838,4/24/2018,SBUX,-0.006017757,-0.006017865,-0.082523124,Even
58.27,58.27,57.290001,57.709999,8367400,55.941441,4/25/2018,SBUX,-0.001729868,-0.001729839,0.144257715,Even
58.110001,60.18,57.849998,59.380001,14516600,57.560261,4/26/2018,SBUX,0.02893776,0.028937828,-0.92369207,Less
58.07,58.98,57.5,58.360001,11975200,56.571529,4/27/2018,SBUX,-0.017177337,-0.017177501,-0.77730234,Less
58.389999,58.509998,57.459999,57.57,7854600,55.805733,4/30/2018,SBUX,-0.013536774,-0.013536686,0.038432963,Even
57.669998,58.25,57.439999,58.130001,7257500,56.348576,5/1/2018,SBUX,0.00972737,0.009727306,-0.237688882,Even
58.060001,58.09,56.529999,56.700001,7299100,54.962391,5/2/2018,SBUX,-0.024600178,-0.024600034,0.33959991,Even
56.52,56.57,55.540001,56.130001,7152400,54.409866,5/3/2018,SBUX,-0.010052783,-0.01005291,0.422076171,Even
56.540001,57.93,56.490002,57.68,9279200,55.912361,5/4/2018,SBUX,0.027614385,0.027614448,0.094229395,Even
58.990002,59.040001,57.27,57.450001,10630600,55.689411,5/7/2018,SBUX,-0.00398749,-0.0039875,0.041487507,Even
57.450001,57.709999,57,57.669998,7234000,55.902664,5/8/2018,SBUX,0.003829328,0.003829365,-0.083777889,Even
57.43,57.619999,56.790001,57.040001,7015300,55.581108,5/9/2018,SBUX,-0.005752069,-0.010924172,-0.139992534,Even
57.18,57.700001,57.02,57.650002,6565800,56.175507,5/10/2018,SBUX,0.010694263,0.010694267,-0.174923866,Even
57.720001,57.860001,57.07,57.27,5843400,55.805225,5/11/2018,SBUX,-0.00659152,-0.006591535,-0.02452797,Even
57.360001,57.509998,56.990002,57.130001,5871800,55.668812,5/14/2018,SBUX,-0.002444449,-0.002444543,0.010514293,Even
57,57.099998,56.349998,56.639999,7415800,55.191338,5/15/2018,SBUX,-0.008577047,-0.008576965,0.245193071,Even
56.830002,57.330002,56.790001,57.150002,4843900,55.688293,5/16/2018,SBUX,0.009004221,0.00900429,-0.066478292,Even
57.200001,57.349998,56.98,57.200001,6110100,55.737015,5/17/2018,SBUX,0.000874906,0.000874873,0.101346247,Even
57.27,57.389999,56.860001,57.16,7786000,55.69804,5/18/2018,SBUX,-0.000699266,-0.000699318,0.181418144,Even
57.400002,57.82,57.259998,57.34,5379300,55.873436,5/21/2018,SBUX,0.003149052,0.003149055,0.20181544,Even
57.5,57.619999,56.91,56.959999,5355600,55.503151,5/22/2018,SBUX,-0.00662721,-0.006627154,0.093985569,Even
56.799999,57.57,56.759998,57.490002,5339900,56.0196,5/23/2018,SBUX,0.009304859,0.009304828,-0.003475622,Even
57.439999,57.740002,57.119999,57.68,5681600,56.204739,5/24/2018,SBUX,0.003304897,0.003304888,-0.35194285,Even
57.68,58.380001,57.580002,57.919998,6783800,56.438599,5/25/2018,SBUX,0.004160859,0.004160853,-0.352887183,Even
57.700001,57.880001,57.009998,57.23,6475900,55.766247,5/29/2018,SBUX,-0.011912982,-0.011912949,-0.056069263,Even
